CustomerID,Age,Tenure_Months,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,Churn
C10047,41,23,147.43,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10048,65,69,99.5,One year,DSL,No,Electronic check,No
C10049,53,38,27.09,Month-to-month,No,No,Bank transfer,Yes
C10050,59,21,100.12,Two year,No,No,Bank transfer,Yes
C10051,58,70,25.51,Month-to-month,DSL,Yes,Electronic check,Yes
C10052,28,67,134.94,Month-to-month,DSL,Yes,Bank transfer,Yes
C10053,37,36,112.25,Two year,DSL,Yes,Credit card,Yes
C10054,42,2,42.51,Two year,Fiber optic,Yes,Credit card,No
C10055,44,43,31.92,Month-to-month,DSL,No,Electronic check,No
C10056,20,40,43.86,Month-to-month,No,Yes,Bank transfer,Yes
C10057,46,11,147.4,One year,Fiber optic,Yes,Credit card,No
C10058,26,46,79.61,Two year,No,No,Bank transfer,No
C10059,57,61,121.93,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10060,54,8,102.73,Month-to-month,No,Yes,Bank transfer,Yes
C10061,66,53,94.41,One year,DSL,Yes,Electronic check,No
C10062,57,11,38.87,One year,Fiber optic,No,Electronic check,No
C10063,37,54,142.98,One year,DSL,No,Bank transfer,Yes
C10064,69,31,59.17,One year,No,Yes,Bank transfer,Yes
C10065,39,1,95.14,Month-to-month,Fiber optic,No,Credit card,Yes
C10066,35,70,110.97,Two year,No,No,Bank transfer,Yes
C10067,65,12,104.4,Two year,DSL,No,Credit card,No
C10068,37,43,142.28,One year,No,Yes,Bank transfer,Yes
C10069,22,14,39.3,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10070,42,68,86.09,Month-to-month,Fiber optic,No,Electronic check,No
C10071,60,54,72.52,One year,No,Yes,Electronic check,No
C10072,28,58,81.64,Month-to-month,Fiber optic,No,Credit card,Yes
C10073,42,32,35.5,Two year,Fiber optic,No,Credit card,No
C10074,24,34,37.43,Month-to-month,Fiber optic,Yes,Credit card,No
C10075,54,46,56.15,One year,DSL,No,Electronic check,No
C10076,43,57,59.61,Two year,DSL,No,Electronic check,Yes
C10077,35,61,75.63,Month-to-month,DSL,No,Credit card,Yes
C10078,30,2,99.43,Month-to-month,DSL,Yes,Bank transfer,Yes
C10079,47,48,102.5,One year,No,No,Electronic check,No
C10080,53,8,73.54,One year,Fiber optic,No,Credit card,Yes
C10081,67,21,73.14,Month-to-month,Fiber optic,No,Credit card,Yes
C10082,41,60,48.29,One year,Fiber optic,No,Electronic check,Yes
C10083,26,19,96.48,Two year,Fiber optic,No,Credit card,Yes
C10084,62,58,61.22,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10085,51,34,24.69,Month-to-month,No,Yes,Bank transfer,Yes
C10086,55,17,74.39,Month-to-month,No,Yes,Bank transfer,Yes
C10087,23,25,81.64,Month-to-month,Fiber optic,No,Electronic check,Yes
C10088,34,39,49.33,Month-to-month,DSL,No,Credit card,Yes
C10089,58,56,94.42,Month-to-month,Fiber optic,No,Credit card,Yes
C10090,62,44,93.55,One year,Fiber optic,Yes,Credit card,Yes
C10091,41,68,111.26,Month-to-month,Fiber optic,No,Credit card,No
C10092,60,63,104.23,Two year,Fiber optic,No,Electronic check,No
C10093,62,55,104.82,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10094,38,44,61.11,Month-to-month,DSL,No,Bank transfer,Yes
C10095,65,21,122.37,One year,DSL,No,Credit card,Yes
C10096,33,30,91.39,Two year,Fiber optic,No,Bank transfer,Yes
C10097,30,9,76.08,Month-to-month,DSL,Yes,Bank transfer,Yes
C10098,54,27,101.38,Month-to-month,DSL,No,Electronic check,Yes
C10099,51,67,66.89,Month-to-month,Fiber optic,No,Credit card,Yes
C10100,25,31,86.66,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10101,62,9,115.77,Month-to-month,DSL,No,Electronic check,Yes
C10102,28,47,135.23,Month-to-month,Fiber optic,No,Credit card,Yes
C10103,60,70,139.74,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10104,18,63,85.47,Month-to-month,DSL,No,Electronic check,Yes
C10105,60,20,87.64,Two year,No,No,Electronic check,Yes
C10106,59,33,123.98,One year,No,No,Bank transfer,Yes
C10107,59,39,60.88,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10108,53,18,128.86,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10109,42,20,84.24,Month-to-month,DSL,No,Bank transfer,Yes
C10110,55,18,35.06,Month-to-month,No,Yes,Electronic check,No
C10111,32,72,29.37,One year,Fiber optic,No,Electronic check,No
C10112,59,54,129.46,Two year,No,Yes,Bank transfer,Yes
C10113,47,61,27.22,Two year,Fiber optic,No,Electronic check,No
C10114,42,59,56.48,Two year,DSL,No,Credit card,Yes
C10115,44,70,63.44,Two year,DSL,Yes,Electronic check,No
C10116,48,8,42.49,Two year,Fiber optic,No,Bank transfer,Yes
C10117,19,64,60.81,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10118,25,5,116.55,Month-to-month,DSL,No,Electronic check,Yes
C10119,31,35,21.91,Month-to-month,Fiber optic,No,Electronic check,Yes
C10120,24,43,127.53,One year,No,No,Electronic check,No
C10121,41,26,131.35,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10122,53,11,68.39,Two year,Fiber optic,Yes,Credit card,Yes
C10123,52,14,39.97,One year,DSL,No,Credit card,Yes
C10124,42,60,98.11,Month-to-month,Fiber optic,No,Electronic check,Yes
C10125,63,23,35.56,Month-to-month,DSL,No,Credit card,Yes
C10126,47,23,67.44,Month-to-month,No,Yes,Bank transfer,No
C10127,22,67,144.6,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10128,58,11,149.41,Two year,Fiber optic,No,Electronic check,Yes
C10129,48,66,120.37,One year,DSL,Yes,Bank transfer,No
C10130,51,67,60.42,One year,DSL,Yes,Bank transfer,No
C10131,47,44,109.4,Month-to-month,Fiber optic,No,Electronic check,Yes
C10132,47,12,111.7,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10133,22,12,70.42,Month-to-month,Fiber optic,No,Credit card,Yes
C10134,47,21,103.32,One year,No,Yes,Bank transfer,Yes
C10135,60,42,21.39,One year,No,No,Credit card,No
C10136,34,12,47.18,Month-to-month,No,No,Credit card,Yes
C10137,49,33,88.26,Two year,DSL,No,Credit card,No
C10138,19,9,41.29,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10139,36,39,41.57,Two year,No,No,Credit card,No
C10140,41,2,128.72,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10141,70,52,148.59,Month-to-month,DSL,Yes,Credit card,Yes
C10142,29,4,92.28,Two year,No,Yes,Credit card,Yes
C10143,32,15,129.08,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10144,39,13,148.74,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10145,70,60,38.41,Month-to-month,No,No,Electronic check,Yes
C10146,63,4,78.27,Month-to-month,Fiber optic,No,Electronic check,Yes
C10147,19,31,71.03,One year,Fiber optic,No,Bank transfer,No
C10148,30,43,30.41,Two year,Fiber optic,No,Credit card,No
C10149,61,38,118.19,Two year,Fiber optic,No,Credit card,Yes
C10150,21,50,76.39,Month-to-month,DSL,Yes,Bank transfer,Yes
C10151,63,58,81.01,Month-to-month,Fiber optic,No,Electronic check,Yes
C10152,32,29,39.59,Month-to-month,No,Yes,Bank transfer,No
C10153,66,60,43.52,Month-to-month,DSL,No,Credit card,Yes
C10154,33,23,137.92,Month-to-month,DSL,No,Credit card,Yes
C10155,41,71,25.8,Two year,No,Yes,Electronic check,No
C10156,53,37,50.27,Two year,DSL,No,Electronic check,No
C10157,24,53,57.97,One year,Fiber optic,Yes,Credit card,No
C10158,47,64,83.73,Month-to-month,Fiber optic,No,Electronic check,Yes
C10159,44,58,96.24,Month-to-month,Fiber optic,No,Electronic check,No
C10160,59,62,84.13,Month-to-month,DSL,No,Electronic check,Yes
C10161,70,39,30.93,Month-to-month,Fiber optic,Yes,Bank transfer,No
C10162,53,4,51.68,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10163,39,36,129.67,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10164,39,14,102.89,Month-to-month,DSL,Yes,Electronic check,Yes
C10165,40,65,104.39,Two year,Fiber optic,Yes,Credit card,No
C10166,61,18,107.13,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10167,35,17,119.18,Two year,DSL,No,Bank transfer,Yes
C10168,26,18,27.55,Month-to-month,DSL,Yes,Electronic check,Yes
C10169,35,47,67.66,One year,DSL,Yes,Bank transfer,Yes
C10170,19,42,90.14,Month-to-month,DSL,No,Credit card,Yes
C10171,23,69,64.0,Month-to-month,DSL,No,Bank transfer,Yes
C10172,22,30,129.78,Month-to-month,No,No,Electronic check,Yes
C10173,58,21,82.73,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10174,56,4,119.92,Two year,No,No,Bank transfer,Yes
C10175,54,1,130.76,Month-to-month,No,No,Bank transfer,Yes
C10176,42,27,85.62,One year,DSL,No,Bank transfer,Yes
C10177,56,67,138.24,Month-to-month,Fiber optic,No,Electronic check,Yes
C10178,26,38,96.33,Month-to-month,No,Yes,Credit card,Yes
C10179,65,65,130.54,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10180,44,8,64.28,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10181,67,7,84.85,Two year,Fiber optic,Yes,Bank transfer,No
C10182,26,61,89.08,Two year,DSL,No,Bank transfer,Yes
C10183,44,8,33.65,One year,Fiber optic,Yes,Electronic check,Yes
C10184,54,4,71.81,Month-to-month,No,Yes,Credit card,Yes
C10185,44,30,139.25,Month-to-month,No,Yes,Electronic check,Yes
C10186,41,67,102.01,Two year,DSL,No,Bank transfer,No
C10187,26,50,43.08,Month-to-month,Fiber optic,Yes,Electronic check,No
C10188,38,8,64.05,Month-to-month,DSL,No,Electronic check,Yes
C10189,30,61,44.91,Month-to-month,No,No,Electronic check,Yes
C10190,33,61,23.23,One year,DSL,Yes,Credit card,Yes
C10191,54,58,140.57,One year,No,No,Bank transfer,Yes
C10192,51,65,78.27,One year,No,Yes,Bank transfer,No
C10193,50,18,59.98,One year,DSL,Yes,Credit card,Yes
C10194,37,71,97.8,Month-to-month,DSL,No,Electronic check,Yes
C10195,68,24,20.95,Two year,No,No,Bank transfer,No
C10196,22,58,56.14,Month-to-month,DSL,Yes,Bank transfer,No
C10197,36,42,111.39,One year,Fiber optic,No,Bank transfer,Yes
C10198,24,57,102.39,Month-to-month,No,Yes,Electronic check,Yes
C10199,35,46,147.63,Two year,Fiber optic,No,Credit card,Yes
C10200,68,47,100.65,Month-to-month,Fiber optic,No,Electronic check,Yes
C10201,37,45,82.08,Month-to-month,Fiber optic,No,Credit card,Yes
C10202,66,57,118.99,Month-to-month,DSL,No,Credit card,Yes
C10203,44,54,137.43,Month-to-month,No,Yes,Bank transfer,Yes
C10204,55,10,113.69,Month-to-month,DSL,No,Electronic check,Yes
C10205,42,60,145.22,One year,DSL,No,Electronic check,No
C10206,32,39,121.66,Month-to-month,DSL,No,Credit card,Yes
C10207,58,24,132.68,Two year,No,Yes,Credit card,No
C10208,69,38,34.83,Month-to-month,DSL,Yes,Credit card,Yes
C10209,31,70,115.21,One year,No,Yes,Electronic check,Yes
C10210,59,62,77.21,Month-to-month,Fiber optic,Yes,Bank transfer,No
C10211,31,61,91.9,One year,No,Yes,Electronic check,No
C10212,55,34,105.03,One year,No,Yes,Credit card,No
C10213,59,57,146.08,Month-to-month,No,No,Bank transfer,Yes
C10214,41,28,148.0,Two year,No,Yes,Credit card,No
C10215,57,50,57.47,Month-to-month,DSL,No,Credit card,Yes
C10216,32,47,115.39,Month-to-month,Fiber optic,No,Credit card,Yes
C10217,22,18,117.5,One year,Fiber optic,No,Bank transfer,Yes
C10218,23,20,65.04,Two year,Fiber optic,No,Bank transfer,No
C10219,41,5,36.1,Month-to-month,No,No,Bank transfer,Yes
C10220,65,11,25.32,Month-to-month,No,No,Electronic check,No
C10221,24,32,121.05,Two year,Fiber optic,No,Electronic check,Yes
C10222,42,35,83.66,One year,Fiber optic,No,Bank transfer,Yes
C10223,55,12,148.12,Two year,Fiber optic,No,Credit card,No
C10224,28,31,80.45,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10225,56,44,147.13,One year,Fiber optic,No,Credit card,No
C10226,34,17,73.5,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10227,60,25,123.18,Two year,DSL,No,Bank transfer,Yes
C10228,48,27,31.03,Month-to-month,DSL,No,Bank transfer,Yes
C10229,46,37,92.21,One year,Fiber optic,No,Bank transfer,Yes
C10230,27,27,124.27,Month-to-month,Fiber optic,No,Electronic check,Yes
C10231,42,54,140.21,One year,No,No,Electronic check,No
C10232,63,24,126.94,One year,Fiber optic,No,Credit card,Yes
C10233,19,32,24.81,Month-to-month,DSL,No,Bank transfer,Yes
C10234,58,28,68.45,Two year,DSL,Yes,Electronic check,Yes
C10235,44,14,26.33,Month-to-month,DSL,Yes,Electronic check,Yes
C10236,56,50,34.21,One year,No,Yes,Electronic check,No
C10237,53,17,107.79,Month-to-month,DSL,Yes,Credit card,Yes
C10238,40,22,112.72,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10239,34,58,120.58,Month-to-month,No,No,Credit card,Yes
C10240,51,69,132.51,Month-to-month,No,No,Electronic check,Yes
C10241,25,49,116.13,Month-to-month,DSL,Yes,Bank transfer,No
C10242,48,66,124.11,One year,DSL,No,Electronic check,Yes
C10243,23,62,26.37,One year,DSL,Yes,Credit card,Yes
C10244,52,35,50.49,One year,DSL,No,Electronic check,Yes
C10245,51,56,100.85,Month-to-month,DSL,Yes,Bank transfer,Yes
C10246,22,24,131.56,Month-to-month,Fiber optic,No,Electronic check,Yes
C10247,58,34,20.59,Month-to-month,No,Yes,Electronic check,Yes
C10248,40,39,86.9,One year,Fiber optic,No,Electronic check,Yes
C10249,59,70,108.05,Two year,Fiber optic,Yes,Credit card,No
C10250,20,62,23.85,Month-to-month,DSL,No,Bank transfer,Yes
C10251,27,36,72.18,One year,No,Yes,Bank transfer,No
C10252,44,47,136.43,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10253,27,15,107.31,Month-to-month,No,No,Credit card,Yes
C10254,35,58,50.9,Month-to-month,No,No,Bank transfer,No
C10255,53,40,130.86,Month-to-month,DSL,No,Bank transfer,Yes
C10256,25,39,65.24,One year,DSL,No,Electronic check,Yes
C10257,53,56,130.93,Two year,DSL,Yes,Electronic check,No
C10258,23,46,58.86,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10259,27,6,96.74,Month-to-month,No,Yes,Bank transfer,Yes
C10260,49,21,71.6,One year,Fiber optic,Yes,Electronic check,Yes
C10261,60,13,55.73,Two year,Fiber optic,No,Electronic check,No
C10262,27,53,135.25,One year,Fiber optic,No,Electronic check,Yes
C10263,33,3,44.39,Month-to-month,DSL,No,Electronic check,Yes
C10264,67,15,31.03,One year,DSL,No,Credit card,No
C10265,70,44,64.45,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10266,48,51,113.29,Two year,Fiber optic,No,Credit card,No
C10267,41,37,124.97,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10268,36,62,149.84,One year,DSL,Yes,Credit card,Yes
C10269,50,67,58.53,Month-to-month,Fiber optic,No,Electronic check,Yes
C10270,49,10,73.03,Month-to-month,DSL,No,Bank transfer,Yes
C10271,33,69,37.79,Two year,No,Yes,Credit card,No
C10272,19,45,94.73,One year,DSL,Yes,Bank transfer,No
C10273,26,46,149.69,Month-to-month,DSL,No,Credit card,Yes
C10274,68,7,111.11,Two year,Fiber optic,No,Electronic check,Yes
C10275,40,45,97.38,Two year,Fiber optic,No,Electronic check,Yes
C10276,43,53,71.01,Month-to-month,Fiber optic,No,Credit card,Yes
C10277,42,42,138.99,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10278,59,7,84.6,Month-to-month,No,Yes,Credit card,Yes
C10279,21,38,37.47,One year,Fiber optic,No,Credit card,Yes
C10280,22,68,67.5,Month-to-month,Fiber optic,No,Credit card,No
C10281,32,53,28.73,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10282,43,10,46.26,Two year,DSL,No,Credit card,Yes
C10283,53,70,22.3,Two year,Fiber optic,Yes,Electronic check,Yes
C10284,44,70,78.93,Two year,DSL,No,Bank transfer,No
C10285,41,13,102.49,Two year,Fiber optic,Yes,Electronic check,No
C10286,67,58,64.63,One year,DSL,Yes,Credit card,Yes
C10287,26,30,74.65,One year,No,Yes,Credit card,No
C10288,48,43,144.7,One year,Fiber optic,Yes,Credit card,No
C10289,46,33,117.76,Month-to-month,No,No,Credit card,Yes
C10290,43,57,90.31,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10291,60,72,56.99,Month-to-month,DSL,Yes,Electronic check,No
C10292,32,58,136.61,One year,No,No,Credit card,Yes
C10293,68,68,50.56,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10294,35,69,62.29,Month-to-month,Fiber optic,Yes,Electronic check,No
C10295,46,7,138.18,One year,Fiber optic,Yes,Credit card,No
C10296,45,19,88.84,Month-to-month,Fiber optic,Yes,Credit card,Yes
C10297,63,52,116.5,Month-to-month,No,No,Bank transfer,Yes
C10298,41,43,96.8,Two year,Fiber optic,Yes,Credit card,Yes
C10299,33,4,104.95,Two year,DSL,Yes,Electronic check,No
C10300,19,7,58.92,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10301,37,38,51.38,Month-to-month,Fiber optic,No,Electronic check,Yes
C10302,61,45,61.92,Month-to-month,No,Yes,Bank transfer,Yes
C10303,18,13,40.21,One year,Fiber optic,No,Electronic check,No
C10304,65,13,133.66,Two year,Fiber optic,Yes,Electronic check,No
C10305,46,10,56.82,Month-to-month,No,No,Credit card,Yes
C10306,25,41,92.99,One year,Fiber optic,Yes,Credit card,Yes
C10307,34,1,122.96,Month-to-month,Fiber optic,Yes,Credit card,No
C10308,47,42,121.9,Month-to-month,Fiber optic,Yes,Credit card,No
C10309,34,35,76.99,Two year,DSL,No,Credit card,No
C10310,23,34,81.91,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10311,53,49,149.31,Month-to-month,DSL,Yes,Bank transfer,Yes
C10312,53,38,107.7,Month-to-month,DSL,Yes,Credit card,Yes
C10313,24,53,125.9,One year,Fiber optic,No,Bank transfer,Yes
C10314,32,56,137.33,Two year,Fiber optic,No,Electronic check,Yes
C10315,30,67,122.39,Two year,No,Yes,Credit card,Yes
C10316,52,58,44.07,Month-to-month,DSL,Yes,Electronic check,No
C10317,56,38,93.08,Month-to-month,DSL,No,Credit card,Yes
C10318,56,36,33.25,One year,No,No,Bank transfer,Yes
C10319,67,17,104.88,Month-to-month,DSL,No,Credit card,Yes
C10320,58,44,144.2,Two year,DSL,No,Electronic check,Yes
C10321,34,11,86.66,One year,DSL,No,Bank transfer,Yes
C10322,23,68,76.29,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10323,50,61,24.66,Two year,No,No,Bank transfer,No
C10324,66,9,144.77,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10325,69,57,33.39,Month-to-month,Fiber optic,Yes,Credit card,No
C10326,30,9,25.34,One year,DSL,Yes,Bank transfer,Yes
C10327,30,52,51.99,Month-to-month,Fiber optic,Yes,Credit card,No
C10328,19,7,28.52,One year,Fiber optic,No,Bank transfer,No
C10329,25,36,79.17,One year,DSL,Yes,Electronic check,No
C10330,47,48,87.09,Two year,DSL,Yes,Credit card,No
C10331,46,53,60.63,Two year,DSL,No,Electronic check,No
C10332,37,31,26.62,Month-to-month,DSL,No,Electronic check,Yes
C10333,34,67,34.51,Month-to-month,Fiber optic,No,Credit card,No
C10334,61,56,69.99,One year,Fiber optic,No,Credit card,Yes
C10335,42,15,27.87,Two year,DSL,No,Credit card,No
C10336,60,49,110.76,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10337,69,53,46.91,Month-to-month,Fiber optic,No,Credit card,No
C10338,34,25,59.27,Month-to-month,Fiber optic,No,Electronic check,Yes
C10339,28,54,71.24,Month-to-month,No,Yes,Credit card,Yes
C10340,68,65,74.16,One year,Fiber optic,Yes,Bank transfer,No
C10341,51,59,20.22,Month-to-month,No,Yes,Electronic check,Yes
C10342,33,55,34.57,One year,DSL,No,Bank transfer,No
C10343,50,46,132.16,Two year,Fiber optic,Yes,Bank transfer,Yes
C10344,45,20,20.16,Two year,DSL,Yes,Electronic check,Yes
C10345,65,58,86.06,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10346,31,27,83.64,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10347,70,39,63.3,One year,DSL,Yes,Electronic check,No
C10348,67,23,76.07,Two year,Fiber optic,No,Electronic check,Yes
C10349,27,23,121.48,Month-to-month,DSL,Yes,Credit card,Yes
C10350,26,12,129.36,Two year,DSL,No,Bank transfer,Yes
C10351,46,70,53.85,Month-to-month,DSL,No,Bank transfer,Yes
C10352,20,11,61.92,Two year,Fiber optic,Yes,Bank transfer,No
C10353,33,7,51.52,Month-to-month,DSL,No,Bank transfer,Yes
C10354,41,68,82.38,Month-to-month,Fiber optic,No,Bank transfer,No
C10355,69,40,108.82,Month-to-month,DSL,No,Bank transfer,Yes
C10356,70,32,49.67,Month-to-month,Fiber optic,No,Credit card,Yes
C10357,26,54,63.0,Month-to-month,No,No,Credit card,Yes
C10358,65,28,140.95,Month-to-month,Fiber optic,Yes,Electronic check,Yes
C10359,22,10,26.31,Month-to-month,Fiber optic,No,Credit card,Yes
C10360,57,53,79.9,One year,No,No,Credit card,Yes
C10361,62,13,112.5,Month-to-month,No,No,Electronic check,Yes
C10362,65,40,39.56,One year,Fiber optic,Yes,Credit card,No
C10363,29,69,26.16,Two year,No,No,Bank transfer,No
C10364,65,68,37.97,Month-to-month,No,Yes,Credit card,Yes
C10365,24,26,139.45,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10366,45,57,21.2,Two year,Fiber optic,Yes,Credit card,No
C10367,42,45,44.48,Two year,DSL,No,Electronic check,Yes
C10368,34,35,24.07,Month-to-month,DSL,No,Electronic check,Yes
C10369,19,11,34.38,Two year,Fiber optic,No,Credit card,No
C10370,58,28,100.62,Month-to-month,Fiber optic,No,Bank transfer,No
C10371,35,47,51.41,Month-to-month,Fiber optic,Yes,Bank transfer,Yes
C10372,53,72,94.0,One year,Fiber optic,No,Electronic check,Yes
C10373,39,1,96.73,Month-to-month,Fiber optic,No,Electronic check,Yes
C10374,37,52,130.43,One year,No,Yes,Credit card,No
C10375,64,61,20.62,Month-to-month,DSL,Yes,Electronic check,Yes
C10376,23,69,130.94,One year,DSL,Yes,Bank transfer,No
C10377,57,31,100.49,Month-to-month,Fiber optic,No,Electronic check,Yes
C10378,57,9,41.16,Month-to-month,No,No,Electronic check,Yes
C10379,38,20,120.48,Month-to-month,No,No,Electronic check,Yes
C10380,31,62,131.21,Month-to-month,No,Yes,Credit card,No
C10381,18,64,53.05,One year,No,No,Credit card,Yes
C10382,67,46,139.44,Month-to-month,DSL,Yes,Electronic check,Yes
C10383,68,9,79.08,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10384,30,9,98.45,Month-to-month,DSL,Yes,Bank transfer,Yes
C10385,19,35,148.0,Month-to-month,Fiber optic,No,Bank transfer,Yes
C10386,24,43,67.0,Two year,No,No,Credit card,No
C10387,21,3,125.71,Month-to-month,DSL,Yes,Electronic check,Yes
C10388,62,50,61.39,Two year,Fiber optic,No,Electronic check,Yes
C10389,65,40,123.9,Month-to-month,DSL,No,Bank transfer,Yes
C10390,26,1,98.1,One year,DSL,Yes,Bank transfer,Yes
C10391,57,7,48.13,Month-to-month,DSL,Yes,Electronic check,Yes
C10392,27,33,73.82,Month-to-month,DSL,No,Credit card,No
C10393,37,53,61.29,Two year,No,Yes,Electronic check,No
C10394,49,60,30.15,Two year,Fiber optic,Yes,Electronic check,Yes
C10395,56,32,23.88,Two year,No,No,Bank transfer,No
C10396,64,22,65.04,Month-to-month,Fiber optic,No,Bank transfer,No
C10397,20,70,22.47,Month-to-month,DSL,Yes,Electronic check,Yes
C10398,28,34,41.51,One year,DSL,Yes,Electronic check,Yes
C10399,32,23,114.27,Month-to-month,No,No,Electronic check,No
C10400,34,32,112.05,One year,DSL,No,Bank transfer,No
